date,campaign_id,campaign_name,subgroup_id,subgroup_name,platform,impressions,clicks,cost,conversions,reach,frequency,video_views,engagement_rate,conversion_value,quality_score,likes,shares,comments,ctr,cpc,cpm,cpa,roas
2024-01-04,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,67890,234,89.5,5,56789,1.2,45678,0.0034,,,,,,0.00344675209898365,0.38247863247863245,1.3183090293121225,17.9,
2024-01-06,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,69456,245,91.2,5,57890,1.2,47234,0.0035,,,,,,0.0035274130384703984,0.3722448979591837,1.3130615065653077,18.240000000000002,
2024-01-26,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,73456,261,94.6,7,59567,1.23,49234,0.0036,,,,,,0.0035531474624264864,0.36245210727969346,1.2878457852319756,13.514285714285714,
2024-01-28,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,65789,234,80.4,4,54123,1.21,43890,0.0036,,,,,,0.003556825609144386,0.34358974358974359,1.2220887990393532,20.1,
2024-01-21,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,62345,223,76.3,4,51567,1.2,41234,0.0036,,,,,,0.0035768706391851794,0.342152466367713,1.2238351110754671,19.075,
2024-01-24,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,74567,267,95.8,7,60789,1.23,50234,0.0036,,,,,,0.003580672415411643,0.3588014981273408,1.2847506269529416,13.685714285714285,
2024-01-12,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,72890,261,96.8,7,59123,1.23,49567,0.0036,,,,,,0.0035807380985045959,0.37088122605363982,1.3280285361503634,13.828571428571427,
2024-01-20,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,65234,234,81.2,5,53456,1.19,43567,0.0036,,,,,,0.0035870864886408927,0.347008547008547,1.2447496704172671,16.240000000000002,
2024-01-27,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,68234,245,85.9,5,55890,1.22,45678,0.0036,,,,,,0.0035905853386874577,0.35061224489795922,1.2589031860949089,17.18,
2024-01-05,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,Facebook,71234,256,94.8,6,59234,1.2,48901,0.0036,,,,,,0.0035937894825504675,0.3703125,1.3308251677569698,15.799999999999999,
